a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19
154,comm1,9733928,80090,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9814018,ranked_up_155,,,,,,155,155,,RANK_1STSGT_FULL_N,,0
155,comm1,9814018,80203,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9894221,ranked_up_156,,,,,,156,156,,RANK_PVT_FULL,,0
156,comm1,9894221,80315,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,9974536,ranked_up_157,,,,,,157,157,,RANK_PVT_FULL_N,,0
157,comm1,9974536,80426,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10054961,ranked_up_158,,,,,,158,158,,RANK_PVT_FULL_N,,0
158,comm1,10054961,80536,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10135498,ranked_up_159,,,,,,159,159,,RANK_PFC_FULL,,0
159,comm1,10135498,80646,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10216144,ranked_up_160,,,,,,160,160,,RANK_PFC_FULL_N,,0
160,comm1,10216144,80755,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10296899,ranked_up_161,,,,,,161,161,,RANK_PFC_FULL_N,,0
161,comm1,10296899,80864,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10377763,ranked_up_162,,,,,,162,162,,RANK_SPC_FULL,,0
162,comm1,10377763,80972,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10458734,ranked_up_163,,,,,,163,163,,RANK_SPC_FULL_N,,0
163,comm1,10458734,81079,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10539813,ranked_up_164,,,,,,164,164,,RANK_SPC_FULL_N,,0
164,comm1,10539813,81185,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10620998,ranked_up_165,,,,,,165,165,,RANK_CPL_FULL,,0
165,comm1,10620998,81291,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10702289,ranked_up_166,,,,,,166,166,,RANK_CPL_FULL_N,,0
166,comm1,10702289,81396,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10783685,ranked_up_167,,,,,,167,167,,RANK_CPL_FULL_N,,0
167,comm1,10783685,81501,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10865186,ranked_up_168,,,,,,168,168,,RANK_SGT_FULL,,0
168,comm1,10865186,81605,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,10946791,ranked_up_169,,,,,,169,169,,RANK_SGT_FULL_N,,0
169,comm1,10946791,81708,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11028499,ranked_up_170,,,,,,170,170,,RANK_SGT_FULL_N,,0
170,comm1,11028499,81811,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11110310,ranked_up_171,,,,,,171,171,,RANK_SSGT_FULL,,0
171,comm1,11110310,81913,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11192223,ranked_up_172,,,,,,172,172,,RANK_SSGT_FULL_N,,0
172,comm1,11192223,82015,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11274238,ranked_up_173,,,,,,173,173,,RANK_SSGT_FULL_N,,0
173,comm1,11274238,82116,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11356354,ranked_up_174,,,,,,174,174,,RANK_SSGT_FULL_N,,0
174,comm1,11356354,82216,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11438570,ranked_up_175,,,,,,175,175,,RANK_SFC_FULL,,0
175,comm1,11438570,82316,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11520886,ranked_up_176,,,,,,176,176,,RANK_SFC_FULL_N,,0
176,comm1,11520886,82415,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11603302,ranked_up_177,,,,,,177,177,,RANK_SFC_FULL_N,,0
177,comm1,11603302,82514,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11685816,ranked_up_178,,,,,,178,178,,RANK_SFC_FULL_N,,0
178,comm1,11685816,82612,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11768428,ranked_up_179,,,,,,179,179,,RANK_MSGT_FULL,,0
179,comm1,11768428,82710,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11851138,ranked_up_180,,,,,,180,180,,RANK_MSGT_FULL_N,,0
180,comm1,11851138,82807,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,11933945,ranked_up_181,,,,,,181,181,,RANK_MSGT_FULL_N,,0
181,comm1,11933945,82904,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12016849,ranked_up_182,,,,,,182,182,,RANK_MSGT_FULL_N,,0
182,comm1,12016849,83000,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12099849,ranked_up_183,,,,,,183,183,,RANK_1STSGT_FULL,,0
183,comm1,12099849,83095,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12182944,ranked_up_184,,,,,,184,184,,RANK_1STSGT_FULL_N,,0
184,comm1,12182944,83190,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12266134,ranked_up_185,,,,,,185,185,,RANK_1STSGT_FULL_N,,0
185,comm1,12266134,83285,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12349419,ranked_up_186,,,,,,186,186,,RANK_1STSGT_FULL_N,,0
186,comm1,12349419,83379,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12432798,ranked_up_187,,,,,,187,187,,RANK_PVT_FULL,,0
187,comm1,12432798,83472,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12516270,ranked_up_188,,,,,,188,188,,RANK_PVT_FULL_N,,0
188,comm1,12516270,83565,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12599835,ranked_up_189,,,,,,189,189,,RANK_PVT_FULL_N,,0
189,comm1,12599835,83658,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12683493,ranked_up_190,,,,,,190,190,,RANK_PFC_FULL,,0
190,comm1,12683493,83750,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12767243,ranked_up_191,,,,,,191,191,,RANK_PFC_FULL_N,,0
191,comm1,12767243,83841,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12851084,ranked_up_192,,,,,,192,192,,RANK_PFC_FULL_N,,0
192,comm1,12851084,83933,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,12935017,ranked_up_193,,,,,,193,193,,RANK_SPC_FULL,,0
193,comm1,12935017,84023,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13019040,ranked_up_194,,,,,,194,194,,RANK_SPC_FULL_N,,0
194,comm1,13019040,84113,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13103153,ranked_up_195,,,,,,195,195,,RANK_SPC_FULL_N,,0
195,comm1,13103153,84203,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13187356,ranked_up_196,,,,,,196,196,,RANK_CPL_FULL,,0
196,comm1,13187356,84292,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13271649,ranked_up_197,,,,,,197,197,,RANK_CPL_FULL_N,,0
197,comm1,13271649,84381,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13356030,ranked_up_198,,,,,,198,198,,RANK_CPL_FULL_N,,0
198,comm1,13356030,84469,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13440499,ranked_up_199,,,,,,199,199,,RANK_SGT_FULL,,0
199,comm1,13440499,84557,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13525056,ranked_up_200,,,,,,200,200,,RANK_SGT_FULL_N,,0
200,comm1,13525056,84645,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13609701,ranked_up_201,,,,,,201,201,,RANK_SGT_FULL_N,,0
201,comm1,13609701,84732,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13694433,ranked_up_202,,,,,,202,202,,RANK_SSGT_FULL,,0
202,comm1,13694433,84818,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13779251,ranked_up_203,,,,,,203,203,,RANK_SSGT_FULL_N,,0
203,comm1,13779251,84905,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13864156,ranked_up_204,,,,,,204,204,,RANK_SSGT_FULL_N,,0
204,comm1,13864156,84990,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,13949147,ranked_up_205,,,,,,205,205,,RANK_SSGT_FULL_N,,0
205,comm1,13949147,85076,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14034222,ranked_up_206,,,,,,206,206,,RANK_SFC_FULL,,0
206,comm1,14034222,85161,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14119383,ranked_up_207,,,,,,207,207,,RANK_SFC_FULL_N,,0
207,comm1,14119383,85245,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14204628,ranked_up_208,,,,,,208,208,,RANK_SFC_FULL_N,,0
208,comm1,14204628,85329,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14289958,ranked_up_209,,,,,,209,209,,RANK_SFC_FULL_N,,0
209,comm1,14289958,85413,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14375371,ranked_up_210,,,,,,210,210,,RANK_MSGT_FULL,,0
210,comm1,14375371,85496,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14460867,ranked_up_211,,,,,,211,211,,RANK_MSGT_FULL_N,,0
211,comm1,14460867,85579,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14546447,ranked_up_212,,,,,,212,212,,RANK_MSGT_FULL_N,,0
212,comm1,14546447,85662,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14632109,ranked_up_213,,,,,,213,213,,RANK_MSGT_FULL_N,,0
213,comm1,14632109,85744,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14717853,ranked_up_214,,,,,,214,214,,RANK_1STSGT_FULL,,0
214,comm1,14717853,85826,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14803679,ranked_up_215,,,,,,215,215,,RANK_1STSGT_FULL_N,,0
215,comm1,14803679,85907,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14889586,ranked_up_216,,,,,,216,216,,RANK_1STSGT_FULL_N,,0
216,comm1,14889586,85988,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,14975574,ranked_up_217,,,,,,217,217,,RANK_1STSGT_FULL_N,,0
217,comm1,14975574,86069,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,15061643,ranked_up_218,,,,,,218,218,,RANK_PVT_FULL,,0
218,comm1,15061643,86149,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,15147793,ranked_up_219,,,,,,219,219,,RANK_PVT_FULL_N,,0
219,comm1,15147793,86229,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,15234022,ranked_up_220,,,,,,220,220,,RANK_PVT_FULL_N,,0
220,comm1,15234022,86309,RANK_PVT,RANK_PVT_FULL,icon_alien_rank_pvt1,15320331,ranked_up_221,,,,,,221,221,,RANK_PVT_FULL,,0
221,comm1,15320331,86388,RANK_PVT,RANK_PVT_FULL2,icon_alien_rank_pvt1,15406719,ranked_up_222,,,,,,222,222,,RANK_PVT_FULL_N,,0
222,comm1,15406719,86467,RANK_PVT,RANK_PVT_FULL3,icon_alien_rank_pvt1,15493186,ranked_up_223,,,,,,223,223,,RANK_PVT_FULL_N,,0
223,comm1,15493186,86545,RANK_PFC,RANK_PFC_FULL,icon_alien_rank_pfc1,15579731,ranked_up_224,,,,,,224,224,,RANK_PFC_FULL,,0
224,comm1,15579731,86624,RANK_PFC,RANK_PFC_FULL2,icon_alien_rank_pfc1,15666355,ranked_up_225,,,,,,225,225,,RANK_PFC_FULL_N,,0
225,comm1,15666355,86701,RANK_PFC,RANK_PFC_FULL3,icon_alien_rank_spc1,15753056,ranked_up_226,,,,,,226,226,,RANK_PFC_FULL_N,,0
226,comm1,15753056,86779,RANK_SPC,RANK_SPC_FULL,icon_alien_rank_spc1,15839835,ranked_up_227,,,,,,227,227,,RANK_SPC_FULL,,0
227,comm1,15839835,86856,RANK_SPC,RANK_SPC_FULL2,icon_alien_rank_cpl1,15926691,ranked_up_228,,,,,,228,228,,RANK_SPC_FULL_N,,0
228,comm1,15926691,86933,RANK_SPC,RANK_SPC_FULL3,icon_alien_rank_cpl1,16013624,ranked_up_229,,,,,,229,229,,RANK_SPC_FULL_N,,0
229,comm1,16013624,87009,RANK_CPL,RANK_CPL_FULL,icon_alien_rank_sgt1,16100633,ranked_up_230,,,,,,230,230,,RANK_CPL_FULL,,0
230,comm1,16100633,87085,RANK_CPL,RANK_CPL_FULL2,icon_alien_rank_sgt1,16187719,ranked_up_231,,,,,,231,231,,RANK_CPL_FULL_N,,0
231,comm1,16187719,87161,RANK_CPL,RANK_CPL_FULL3,icon_alien_rank_ssgt1,16274880,ranked_up_232,,,,,,232,232,,RANK_CPL_FULL_N,,0
232,comm1,16274880,87237,RANK_SGT,RANK_SGT_FULL,icon_alien_rank_ssgt1,16362117,ranked_up_233,,,,,,233,233,,RANK_SGT_FULL,,0
233,comm1,16362117,87312,RANK_SGT,RANK_SGT_FULL2,icon_alien_rank_sfc1,16449429,ranked_up_234,,,,,,234,234,,RANK_SGT_FULL_N,,0
234,comm1,16449429,87387,RANK_SGT,RANK_SGT_FULL3,icon_alien_rank_msgt1,16536816,ranked_up_235,,,,,,235,235,,RANK_SGT_FULL_N,,0
235,comm1,16536816,87461,RANK_SSGT,RANK_SSGT_FULL,icon_alien_rank_1stsgt1,16624277,ranked_up_236,,,,,,236,236,,RANK_SSGT_FULL,,0
236,comm1,16624277,87536,RANK_SSGT,RANK_SSGT_FULL2,icon_alien_rank_sgtmaj1,16711812,ranked_up_237,,,,,,237,237,,RANK_SSGT_FULL_N,,0
237,comm1,16711812,87609,RANK_SSGT,RANK_SSGT_FULL3,icon_alien_rank_cmdsgtmaj1,16799422,ranked_up_238,,,,,,238,238,,RANK_SSGT_FULL_N,,0
238,comm1,16799422,87683,RANK_SSGT,RANK_SSGT_FULL4,icon_alien_rank_2ndlt1,16887105,ranked_up_239,,,,,,239,239,,RANK_SSGT_FULL_N,,0
239,comm1,16887105,87756,RANK_SFC,RANK_SFC_FULL,icon_alien_rank_2ndlt1,16974861,ranked_up_240,,,,,,240,240,,RANK_SFC_FULL,,0
240,comm1,16974861,87829,RANK_SFC,RANK_SFC_FULL2,icon_alien_rank_1stlt1,17062690,ranked_up_241,,,,,,241,241,,RANK_SFC_FULL_N,,0
241,comm1,17062690,87902,RANK_SFC,RANK_SFC_FULL3,icon_alien_rank_capt1,17150592,ranked_up_242,,,,,,242,242,,RANK_SFC_FULL_N,,0
242,comm1,17150592,87974,RANK_SFC,RANK_SFC_FULL4,icon_alien_rank_maj1,17238567,ranked_up_243,,,,,,243,243,,RANK_SFC_FULL_N,,0
243,comm1,17238567,88046,RANK_MSGT,RANK_MSGT_FULL,icon_alien_rank_ltcol1,17326613,ranked_up_244,,,,,,244,244,,RANK_MSGT_FULL,,0
244,comm1,17326613,88118,RANK_MSGT,RANK_MSGT_FULL2,icon_alien_rank_col1,17414731,ranked_up_245,,,,,,245,245,,RANK_MSGT_FULL_N,,0
245,comm1,17414731,88190,RANK_MSGT,RANK_MSGT_FULL3,icon_alien_rank_bgen1,17502921,ranked_up_246,,,,,,246,246,,RANK_MSGT_FULL_N,,0
246,comm1,17502921,88261,RANK_MSGT,RANK_MSGT_FULL4,icon_alien_rank_majgen1,17591182,ranked_up_247,,,,,,247,247,,RANK_MSGT_FULL_N,,0
247,comm1,17591182,88332,RANK_1STSGT,RANK_1STSGT_FULL,icon_alien_rank_ltgen1,17679514,ranked_up_248,,,,,,248,248,,RANK_1STSGT_FULL,,0
248,comm1,17679514,88403,RANK_1STSGT,RANK_1STSGT_FULL2,icon_alien_rank_gen1,17767916,ranked_up_249,,,,,,249,249,,RANK_1STSGT_FULL_N,,0
249,comm1,17767916,88473,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,17856389,ranked_up_250,,,,,,250,250,,RANK_1STSGT_FULL_N,,0
250,comm1,17856389,88543,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,17944932,ranked_up_251,,,,,,251,251,,RANK_1STSGT_FULL_N,,0
251,comm1,17944932,88613,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18033545,ranked_up_252,,,,,,252,252,,RANK_PVT_FULL,,0
252,comm1,18033545,88682,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18122227,ranked_up_253,,,,,,253,253,,RANK_PVT_FULL_N,,0
253,comm1,18122227,88752,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18210979,ranked_up_254,,,,,,254,254,,RANK_PVT_FULL_N,,0
254,comm1,18210979,88821,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18299799,ranked_up_255,,,,,,255,255,,RANK_PFC_FULL,,0
255,comm1,18299799,88889,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18388689,ranked_up_256,,,,,,256,256,,RANK_PFC_FULL_N,,0
256,comm1,18388689,88958,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18477646,ranked_up_257,,,,,,257,257,,RANK_PFC_FULL_N,,0
257,comm1,18477646,89026,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18566672,ranked_up_258,,,,,,258,258,,RANK_SPC_FULL,,0
258,comm1,18566672,89094,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18655766,ranked_up_259,,,,,,259,259,,RANK_SPC_FULL_N,,0
259,comm1,18655766,89161,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18744928,ranked_up_260,,,,,,260,260,,RANK_SPC_FULL_N,,0
260,comm1,18744928,89229,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18834157,ranked_up_261,,,,,,261,261,,RANK_CPL_FULL,,0
261,comm1,18834157,89296,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,18923453,ranked_up_262,,,,,,262,262,,RANK_CPL_FULL_N,,0
262,comm1,18923453,89363,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19012816,ranked_up_263,,,,,,263,263,,RANK_CPL_FULL_N,,0
263,comm1,19012816,89430,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19102245,ranked_up_264,,,,,,264,264,,RANK_SGT_FULL,,0
264,comm1,19102245,89496,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19191741,ranked_up_265,,,,,,265,265,,RANK_SGT_FULL_N,,0
265,comm1,19191741,89562,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19281303,ranked_up_266,,,,,,266,266,,RANK_SGT_FULL_N,,0
266,comm1,19281303,89628,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19370931,ranked_up_267,,,,,,267,267,,RANK_SSGT_FULL,,0
267,comm1,19370931,89694,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19460625,ranked_up_268,,,,,,268,268,,RANK_SSGT_FULL_N,,0
268,comm1,19460625,89759,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19550384,ranked_up_269,,,,,,269,269,,RANK_SSGT_FULL_N,,0
269,comm1,19550384,89824,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19640208,ranked_up_270,,,,,,270,270,,RANK_SSGT_FULL_N,,0
270,comm1,19640208,89889,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19730097,ranked_up_271,,,,,,271,271,,RANK_SFC_FULL,,0
271,comm1,19730097,89954,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19820051,ranked_up_272,,,,,,272,272,,RANK_SFC_FULL_N,,0
272,comm1,19820051,90018,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,19910069,ranked_up_273,,,,,,273,273,,RANK_SFC_FULL_N,,0
273,comm1,19910069,90082,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20000152,ranked_up_274,,,,,,274,274,,RANK_SFC_FULL_N,,0
274,comm1,20000152,90146,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20090298,ranked_up_275,,,,,,275,275,,RANK_MSGT_FULL,,0
275,comm1,20090298,90210,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20180508,ranked_up_276,,,,,,276,276,,RANK_MSGT_FULL_N,,0
276,comm1,20180508,90274,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20270782,ranked_up_277,,,,,,277,277,,RANK_MSGT_FULL_N,,0
277,comm1,20270782,90337,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20361119,ranked_up_278,,,,,,278,278,,RANK_MSGT_FULL_N,,0
278,comm1,20361119,90400,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20451519,ranked_up_279,,,,,,279,279,,RANK_1STSGT_FULL,,0
279,comm1,20451519,90463,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20541982,ranked_up_280,,,,,,280,280,,RANK_1STSGT_FULL_N,,0
280,comm1,20541982,90526,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20632508,ranked_up_281,,,,,,281,281,,RANK_1STSGT_FULL_N,,0
281,comm1,20632508,90588,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20723096,ranked_up_282,,,,,,282,282,,RANK_1STSGT_FULL_N,,0
282,comm1,20723096,90650,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20813746,ranked_up_283,,,,,,283,283,,RANK_PVT_FULL,,0
283,comm1,20813746,90712,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20904458,ranked_up_284,,,,,,284,284,,RANK_PVT_FULL_N,,0
284,comm1,20904458,90774,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,20995231,ranked_up_285,,,,,,285,285,,RANK_PVT_FULL_N,,0
285,comm1,20995231,90835,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21086067,ranked_up_286,,,,,,286,286,,RANK_PFC_FULL,,0
286,comm1,21086067,90897,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21176963,ranked_up_287,,,,,,287,287,,RANK_PFC_FULL_N,,0
287,comm1,21176963,90958,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21267921,ranked_up_288,,,,,,288,288,,RANK_PFC_FULL_N,,0
288,comm1,21267921,91019,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21358940,ranked_up_289,,,,,,289,289,,RANK_SPC_FULL,,0
289,comm1,21358940,91079,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21450019,ranked_up_290,,,,,,290,290,,RANK_SPC_FULL_N,,0
290,comm1,21450019,91140,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21541159,ranked_up_291,,,,,,291,291,,RANK_SPC_FULL_N,,0
291,comm1,21541159,91200,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21632359,ranked_up_292,,,,,,292,292,,RANK_CPL_FULL,,0
292,comm1,21632359,91260,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21723619,ranked_up_293,,,,,,293,293,,RANK_CPL_FULL_N,,0
293,comm1,21723619,91320,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21814938,ranked_up_294,,,,,,294,294,,RANK_CPL_FULL_N,,0
294,comm1,21814938,91380,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21906318,ranked_up_295,,,,,,295,295,,RANK_SGT_FULL,,0
295,comm1,21906318,91439,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,21997757,ranked_up_296,,,,,,296,296,,RANK_SGT_FULL_N,,0
296,comm1,21997757,91498,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,22089255,ranked_up_297,,,,,,297,297,,RANK_SGT_FULL_N,,0
297,comm1,22089255,91557,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,22180812,ranked_up_298,,,,,,298,298,,RANK_SSGT_FULL,,0
298,comm1,22180812,91616,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,22272429,ranked_up_299,,,,,,299,299,,RANK_SSGT_FULL_N,,0
299,comm1,22272429,91675,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,22364103,ranked_up_300,,,,,,300,300,,RANK_SSGT_FULL_N,,0
300,comm1,22364103,91733,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,22455837,ranked_up_301,,,,,,301,301,,RANK_SSGT_FULL_N,,0
301,comm1,22455837,91792,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,22547628,ranked_up_302,,,,,,302,302,,RANK_SFC_FULL,,0
302,comm1,22547628,91850,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,22639478,ranked_up_303,,,,,,303,303,,RANK_SFC_FULL_N,,0
303,comm1,22639478,91907,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,22731385,ranked_up_304,,,,,,304,304,,RANK_SFC_FULL_N,,0
304,comm1,22731385,91965,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,22823350,ranked_up_305,,,,,,305,305,,RANK_SFC_FULL_N,,0
305,comm1,22823350,92023,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,22915373,ranked_up_306,,,,,,306,306,,RANK_MSGT_FULL,,0
306,comm1,22915373,92080,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23007453,ranked_up_307,,,,,,307,307,,RANK_MSGT_FULL_N,,0
307,comm1,23007453,92137,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23099590,ranked_up_308,,,,,,308,308,,RANK_MSGT_FULL_N,,0
308,comm1,23099590,92194,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23191784,ranked_up_309,,,,,,309,309,,RANK_MSGT_FULL_N,,0
